bs_code,name,target_date,buy_date,entry_px,exit_date,exit_px,exit_reason,ret,pnl,ret_sum_by_stock
sh.600103,青山纸业,2025-09-03,2025-09-03,2.82,2025-10-22,3.7,hold_30d_close,0.3114567375886527,0.3114567375886527,0.4996494094976372
sh.600103,青山纸业,2025-09-08,2025-09-08,3.01,2025-10-27,3.71,hold_30d_close,0.2319581395348837,0.2319581395348837,0.4996494094976372
sh.600103,青山纸业,2025-11-11,2025-11-11,4.17,2025-12-22,3.99,hold_30d_close,-0.04376546762589924,-0.04376546762589924,0.4996494094976372
sh.600104,上汽集团,2025-08-21,2025-08-21,20.15,2025-10-09,17.52,hold_30d_close,-0.13112109181141435,-0.13112109181141435,-0.13112109181141435
sh.600105,永鼎股份,2025-09-23,2025-09-23,11.2791854,2025-11-11,14.86,hold_30d_close,0.31687102942380924,0.31687102942380924,0.31687102942380924
sh.600106,重庆路桥,2025-08-14,2025-08-14,7.3,2025-09-24,6.47,hold_30d_close,-0.11429863013698634,-0.11429863013698634,-0.11429863013698634
sh.600108,亚盛集团,2025-04-09,2025-04-09,3.23905725,2025-05-23,2.86033671,hold_30d_close,-0.11752307692307702,-0.11752307692307702,-0.11752307692307702
sh.600111,北方稀土,2025-07-11,2025-07-11,28.6,2025-08-21,44.6,hold_30d_close,0.5588405594405593,0.5588405594405593,0.5588405594405593
sh.600113,浙江东日,2025-06-18,2025-06-18,15.7,2025-07-29,26.41,hold_30d_close,0.6815656050955415,0.6815656050955415,0.6815656050955415
sh.600114,东睦股份,2025-07-25,2025-07-25,23.79,2025-09-04,27.73,hold_30d_close,0.16501580496006735,0.16501580496006735,0.16501580496006735
sh.600117,西宁特钢,2025-07-22,2025-07-22,2.85,2025-09-01,3.41,hold_30d_close,0.1958912280701754,0.1958912280701754,0.1958912280701754
sh.600118,中国卫星,2025-08-26,2025-08-26,35.89,2025-10-14,37.88,hold_30d_close,0.054847199777096664,0.054847199777096664,0.27728517446064116
sh.600118,中国卫星,2025-10-27,2025-10-27,39.5,2025-12-05,48.31,hold_30d_close,0.22243797468354448,0.22243797468354448,0.27728517446064116
sh.600127,金健米业,2025-04-11,2025-04-11,8.1,2025-05-27,6.84,hold_30d_close,-0.15615555555555555,-0.15615555555555555,-0.15615555555555555
sh.600137,浪莎股份,2025-07-24,2025-07-24,20.09,2025-09-03,18.81,hold_30d_close,-0.06431329019412653,-0.06431329019412653,-0.06431329019412653
sh.600143,金发科技,2025-07-22,2025-07-22,12.84,2025-09-01,15.82,hold_30d_close,0.2314872274143302,0.2314872274143302,0.2314872274143302
sh.600148,长春一东,2025-07-09,2025-07-09,23.87,2025-08-19,22.3,hold_30d_close,-0.06637293674067864,-0.06637293674067864,-0.06637293674067864
sh.600149,廊坊发展,2025-07-15,2025-07-15,5.88,2025-08-25,5.81,hold_30d_close,-0.012504761904761973,-0.012504761904761973,-0.012504761904761973
sh.600151,航天机电,2025-08-27,2025-08-27,8.75,2025-10-15,8.02,hold_30d_close,-0.08402857142857152,-0.08402857142857152,1.085741798941799
sh.600151,航天机电,2025-12-01,2025-12-01,9.45,2026-01-13,20.51,hold_30d_close,1.1697703703703706,1.1697703703703706,1.085741798941799
sh.600152,维科技术,2025-06-30,2025-06-30,7.61,2025-08-08,6.59,hold_30d_close,-0.1346341655716164,-0.1346341655716164,-0.25370049230407204
sh.600152,维科技术,2025-11-14,2025-11-14,8.65,2025-12-25,7.17,hold_30d_close,-0.17169826589595377,-0.17169826589595377,-0.25370049230407204
sh.600152,维科技术,2025-11-28,2025-11-28,7.89,2026-01-12,8.31,hold_30d_close,0.052631939163498107,0.052631939163498107,-0.25370049230407204
sh.600156,华升股份,2025-11-18,2025-11-18,10.57,2025-12-29,8.37,hold_30d_close,-0.20873623462630092,-0.20873623462630092,-0.20873623462630092
sh.600157,永泰能源,2025-09-19,2025-09-19,1.78,2025-11-07,1.64,hold_30d_close,-0.07925168539325851,-0.07925168539325851,-0.1809752808988764
sh.600157,永泰能源,2025-11-17,2025-11-17,1.78,2025-12-26,1.6,hold_30d_close,-0.1017235955056179,-0.1017235955056179,-0.1809752808988764
sh.600158,中体产业,2025-09-09,2025-09-09,9.78,2025-10-28,9.26,hold_30d_close,-0.0537697341513292,-0.0537697341513292,-0.0537697341513292
sh.600159,大龙地产,2025-09-22,2025-09-22,3.3,2025-11-10,3.21,hold_30d_close,-0.027872727272727226,-0.027872727272727226,-0.08125865102639299
sh.600159,大龙地产,2025-09-24,2025-09-24,3.41,2025-11-12,3.23,hold_30d_close,-0.05338592375366576,-0.05338592375366576,-0.08125865102639299
sh.600162,香江控股,2025-09-15,2025-09-15,2.09,2025-11-03,2.13,hold_30d_close,0.018538755980861344,0.018538755980861344,0.018538755980861344
sh.600168,武汉控股,2025-10-22,2025-10-22,6.18,2025-12-02,5.25,hold_30d_close,-0.1510854368932038,-0.1510854368932038,-0.1510854368932038
sh.600170,上海建工,2025-09-16,2025-09-16,3.21,2025-11-04,2.92,hold_30d_close,-0.09094267912772587,-0.09094267912772587,-0.1858823017692354
sh.600170,上海建工,2026-01-29,2026-01-29,3.18,2026-02-13,2.88,hold_30d_close,-0.09493962264150953,-0.09493962264150953,-0.1858823017692354
sh.600172,黄河旋风,2025-08-12,2025-08-12,5.0,2025-09-22,4.95,hold_30d_close,-0.010600000000000009,-0.010600000000000009,0.3590290076335877
sh.600172,黄河旋风,2025-09-25,2025-09-25,5.24,2025-11-13,7.18,hold_30d_close,0.3696290076335877,0.3696290076335877,0.3590290076335877
sh.600180,瑞茂通,2025-04-10,2025-04-10,5.4736891,2025-05-26,4.3511358,hold_30d_close,-0.20568166969147,-0.20568166969147,-0.20568166969147
sh.600184,光电股份,2025-06-26,2025-06-26,16.02,2025-08-06,21.37,hold_30d_close,0.3333575530586767,0.3333575530586767,0.3333575530586767
sh.600185,珠免集团,2025-10-23,2025-10-23,7.3,2025-12-03,6.77,hold_30d_close,-0.07320273972602749,-0.07320273972602749,-0.07320273972602749
sh.600188,兖矿能源,2026-02-05,2026-02-05,15.27,2026-02-13,17.35,hold_30d_close,0.13561480026195166,0.13561480026195166,0.13561480026195166
sh.600189,泉阳泉,2025-05-28,2025-05-28,8.08,2025-07-09,7.49,hold_30d_close,-0.07361980198019798,-0.07361980198019798,-0.07361980198019798
sh.600198,大唐电信,2025-12-17,2025-12-17,10.03,2026-01-29,9.64,hold_30d_close,-0.03948334995014942,-0.03948334995014942,-0.03948334995014942
sh.600201,生物股份,2025-06-24,2025-06-24,7.98025887,2025-08-04,8.75,hold_30d_close,0.0958556592134711,0.0958556592134711,0.0717130583166102
sh.600201,生物股份,2025-07-17,2025-07-17,8.92,2025-08-27,8.71,hold_30d_close,-0.024142600896860888,-0.024142600896860888,0.0717130583166102
sh.600206,有研新材,2025-10-14,2025-10-14,25.0,2025-11-24,19.58,hold_30d_close,-0.2174000000000001,-0.2174000000000001,-0.2174000000000001
sh.600207,安彩高科,2025-09-05,2025-09-05,5.7,2025-10-24,5.35,hold_30d_close,-0.06200350877192991,-0.06200350877192991,-0.08593684210526323
sh.600207,安彩高科,2025-09-18,2025-09-18,6.0,2025-11-06,5.86,hold_30d_close,-0.023933333333333317,-0.023933333333333317,-0.08593684210526323
sh.600210,紫江企业,2025-08-29,2025-08-29,6.99,2025-10-17,7.32,hold_30d_close,0.04661030042918461,0.04661030042918461,0.0185233894344202
sh.600210,紫江企业,2025-09-02,2025-09-02,7.64,2025-10-21,7.43,hold_30d_close,-0.028086910994764413,-0.028086910994764413,0.0185233894344202
sh.600215,派斯林,2026-01-30,2026-01-30,7.86,2026-02-13,7.56,hold_30d_close,-0.03876793893129778,-0.03876793893129778,-0.03876793893129778
sh.600218,全柴动力,2025-08-20,2025-08-20,10.88958739,2025-09-30,9.21273067,hold_30d_close,-0.15458716773602216,-0.15458716773602216,-0.31543397697861136
sh.600218,全柴动力,2025-08-21,2025-08-21,10.6799803,2025-10-09,9.30256228,hold_30d_close,-0.1295719626168224,-0.1295719626168224,-0.31543397697861136
sh.600218,全柴动力,2025-12-08,2025-12-08,11.38865189,2026-01-20,11.03930674,hold_30d_close,-0.03127484662576681,-0.03127484662576681,-0.31543397697861136
sh.600219,南山铝业,2025-10-30,2025-10-30,4.4052612,2025-12-10,4.74631368,hold_30d_close,0.07681935483870965,0.07681935483870965,0.07681935483870965
sh.600221,海航控股,2025-12-23,2025-12-23,1.88,2026-02-04,1.75,hold_30d_close,-0.06974893617021267,-0.06974893617021267,-0.06974893617021267
sh.600222,太龙药业,2025-08-04,2025-08-04,7.13945375,2025-09-12,6.62022075,hold_30d_close,-0.07332727272727287,-0.07332727272727287,-0.07332727272727287
sh.600226,亨通股份,2025-08-19,2025-08-19,3.27,2025-09-29,4.37,hold_30d_close,0.33579143730886857,0.33579143730886857,0.33579143730886857
sh.600227,赤天化,2025-12-08,2025-12-08,2.88,2026-01-20,2.44,hold_30d_close,-0.15337777777777778,-0.15337777777777778,-0.15337777777777778
sh.600231,凌钢股份,2025-07-07,2025-07-07,2.0,2025-08-15,2.11,hold_30d_close,0.054399999999999935,0.054399999999999935,-0.023435772357723678
sh.600231,凌钢股份,2025-10-20,2025-10-20,2.46,2025-11-28,2.27,hold_30d_close,-0.07783577235772361,-0.07783577235772361,-0.023435772357723678
sh.600232,金鹰股份,2025-06-09,2025-06-09,6.921698,2025-07-18,6.34,hold_30d_close,-0.08463978330172746,-0.08463978330172746,-0.01889785952677278
